ID,Experiment,Replicate,Phase,Site,SeedsSown,SeedsGerminated,GermProportion,Soil,Containment,Watering,Microtopography,SeedSource,SoilOrganicMatter,SoilBulkDensity,SoilVWaterContent,Elevation,MonthPrecipitation
1,Summer23,1,Phase1,Hester,50,2,0.04,Ambient,None,Watered Every Other,Flat,Hester,3.557924022,1.513209509,0.0931351115,-0.82458,0.2
2,Summer23,2,Phase1,Hester,50,0,0,PeatPot,PeatPot,Watered Every Other,Flat,Hester,3.557924022,1.513209509,0.0931351115,-0.82458,0.2
3,Summer23,3,Phase1,Hester,50,0,0,PottingSoil,None,Watered Every Other,Flat,Hester,3.432613696,1.570490099,0.06981643094,-0.82458,0.2
4,Summer23,4,Phase1,Hester,50,0,0,Compost,None,Watered Every Other,Flat,Hester,3.432613696,1.570490099,0.06981643094,-0.82458,0.2
5,Summer23,5,Phase1,Hester,50,0,0,Ambient,None,Watered Every Other,Flat,Hester,3.248504971,1.304976606,0.06946255251,-0.82457,0.2
6,Summer23,6,Phase1,Hester,50,0,0,PeatPot,PeatPot,Watered Every Other,Flat,Hester,3.248504971,1.304976606,0.06946255251,-0.82458,0.2
7,Summer23,7,Phase1,Hester,50,1,0.02,PottingSoil,None,Watered Every Other,Flat,Hester,4.668489676,1.604329127,0.07405879927,-0.8051,0.2
8,Summer23,8,Phase1,Hester,50,0,0,Compost,None,Watered Every Other,Flat,Hester,4.668489676,1.604329127,0.07405879927,-0.80077,0.2
9,Summer23,9,Phase1,Hester,50,0,0,Ambient,None,Watered Every Other,Flat,Hester,2.465910175,1.491469351,0.09671081818,-0.82458,0.2
10,Summer23,10,Phase1,Hester,50,0,0,PeatPot,PeatPot,Watered Every Other,Flat,Hester,2.465910175,1.491469351,0.09671081818,-0.82457,0.2
11,Summer23,11,Phase1,Hester,50,0,0,PottingSoil,None,Watered Every Other,Flat,Hester,3.545160914,1.785339572,0.09275730623,-0.74731,0.2
12,Summer23,12,Phase1,Hester,50,1,0.02,Compost,None,Watered Every Other,Flat,Hester,3.545160914,1.785339572,0.09275730623,-0.80108,0.2
13,Summer23,13,Phase1,Hester,50,0,0,Ambient,None,Watered Every Other,Flat,Hester,3.140467977,1.554610331,0.08956040615,-0.76918,0.2
14,Summer23,14,Phase1,Hester,50,0,0,PeatPot,PeatPot,Watered Every Other,Flat,Hester,3.140467977,1.554610331,0.08956040615,-0.77036,0.2
15,Summer23,15,Phase1,Hester,50,1,0.02,PottingSoil,None,Watered Every Other,Flat,Hester,4.361885105,1.416324023,0.08382274426,-0.78721,0.2
16,Summer23,16,Phase1,Hester,50,1,0.02,Compost,None,Watered Every Other,Flat,Hester,4.361885105,1.416324023,0.08382274426,-0.82457,0.2
17,Summer23,17,Phase1,Hester,50,0,0,Ambient,None,Watered Every Other,Flat,Hester,3.446848764,1.326716764,0.09397264178,-0.7501,0.2
18,Summer23,18,Phase1,Hester,50,0,0,PeatPot,PeatPot,Watered Every Other,Flat,Hester,3.446848764,1.326716764,0.09397264178,-0.74732,0.2
19,Summer23,19,Phase1,Hester,50,1,0.02,PottingSoil,None,Watered Every Other,Flat,Hester,3.668777399,1.519637034,0.09131056789,-0.77167,0.2
20,Summer23,20,Phase1,Hester,50,0,0,Compost,None,Watered Every Other,Flat,Hester,3.668777399,1.519637034,0.09131056789,-0.74731,0.2
21,Summer23,21,Phase1,Hester,50,0,0,Ambient,None,Watered Every Other,Flat,Hester,3.87962855,1.623706224,0.09296774945,-0.82458,0.2
22,Summer23,22,Phase1,Hester,50,0,0,PeatPot,PeatPot,Watered Every Other,Flat,Hester,3.87962855,1.623706224,0.09296774945,-0.82458,0.2
23,Summer23,23,Phase1,Hester,50,0,0,PottingSoil,None,Watered Every Other,Flat,Hester,3.699164345,1.735431731,0.1124727669,-0.75675,0.2
24,Summer23,24,Phase1,Hester,50,0,0,Compost,None,Watered Every Other,Flat,Hester,3.699164345,1.735431731,0.1124727669,-0.82458,0.2
25,Summer23,25,Phase1,Hester,50,0,0,Ambient,None,Watered Every Other,Flat,Hester,2.91847146,1.834680278,0.1092220505,-0.7727,0.2
26,Summer23,26,Phase1,Hester,50,0,0,PeatPot,PeatPot,Watered Every Other,Flat,Hester,2.91847146,1.834680278,0.1092220505,-0.80772,0.2
27,Summer23,27,Phase1,Hester,50,0,0,PottingSoil,None,Watered Every Other,Flat,Hester,3.373700696,1.61964176,0.09395973154,-0.82458,0.2
28,Summer23,28,Phase1,Hester,50,0,0,Compost,None,Watered Every Other,Flat,Hester,3.373700696,1.61964176,0.09395973154,-0.82458,0.2
29,Summer23,29,Phase1,Hester,50,3,0.06,Ambient,None,Watered Every Other,Flat,Hester,3.804232498,1.399877121,0.09858203916,-0.82458,0.2
30,Summer23,30,Phase1,Hester,50,0,0,PeatPot,PeatPot,Watered Every Other,Flat,Hester,3.804232498,1.399877121,0.09858203916,-0.7882,0.2
31,Summer23,31,Phase1,Hester,50,1,0.02,PottingSoil,None,Watered Every Other,Flat,Hester,4.389780906,1.658301432,0.1741906065,-0.75282,0.2
32,Summer23,32,Phase1,Hester,50,0,0,Compost,None,Watered Every Other,Flat,Hester,4.389780906,1.658301432,0.1741906065,-0.82576,0.2
33,Summer23,33,Phase2,Hester,50,0,0,Ambient,None,Watered Every Other,Flat,Hester,8.021380093,0.3608026892,0.07001693958,-0.82576,0.2
34,Summer23,34,Phase2,Hester,50,1,0.02,PeatPot,PeatPot,Watered Every Other,Flat,Hester,8.021380093,0.3608026892,0.07001693958,-0.82576,0.2
35,Summer23,35,Phase2,Hester,50,6,0.12,PottingSoil,None,Watered Every Other,Flat,Hester,10.20269878,0.8965060609,0.08396773094,-0.82576,0.2
36,Summer23,36,Phase2,Hester,50,6,0.12,Compost,None,Watered Every Other,Flat,Hester,10.20269878,0.8965060609,0.08396773094,-0.8257,0.2
37,Summer23,37,Phase2,Hester,50,0,0,Ambient,None,Watered Every Other,Flat,Hester,6.986287856,1.431190791,0.1701067616,-0.8257,0.2
38,Summer23,38,Phase2,Hester,50,0,0,PeatPot,PeatPot,Watered Every Other,Flat,Hester,6.986287856,1.431190791,0.1701067616,-0.8257,0.2
39,Summer23,39,Phase2,Hester,50,0,0,PottingSoil,None,Watered Every Other,Flat,Hester,2.593959172,2.01436284,0.04222503161,-0.8257,0.2
40,Summer23,40,Phase2,Hester,50,0,0,Compost,None,Watered Every Other,Flat,Hester,2.593959172,2.01436284,0.04222503161,-0.51076,0.2
41,Summer23,41,Phase2,Hester,50,0,0,Ambient,None,Watered Every Other,Flat,Hester,2.660015024,1.959254355,0.04762399917,-0.51076,0.2
42,Summer23,42,Phase2,Hester,50,0,0,PeatPot,PeatPot,Watered Every Other,Flat,Hester,2.660015024,1.959254355,0.04762399917,-0.51076,0.2
43,Summer23,43,Phase2,Hester,50,0,0,PottingSoil,None,Watered Every Other,Flat,Hester,2.892684959,1.534582866,0.04480584135,-0.51076,0.2
44,Summer23,44,Phase2,Hester,50,1,0.02,Compost,None,Watered Every Other,Flat,Hester,2.892684959,1.534582866,0.04480584135,-0.51076,0.2
45,Summer23,45,Phase2,Hester,50,0,0,Ambient,None,Watered Every Other,Flat,Hester,3.887436088,1.608739941,0.0548977395,-0.51076,0.2
46,Summer23,46,Phase2,Hester,50,0,0,PeatPot,PeatPot,Watered Every Other,Flat,Hester,3.887436088,1.608739941,0.0548977395,-0.51076,0.2
47,Summer23,47,Phase2,Hester,50,0,0,PottingSoil,None,Watered Every Other,Flat,Hester,2.972048591,1.533971682,0.06447971313,-0.51076,0.2
48,Summer23,48,Phase2,Hester,50,0,0,Compost,None,Watered Every Other,Flat,Hester,2.972048591,1.533971682,0.06447971313,-0.6653,0.2
49,Summer23,49,Phase2,Hester,50,0,0,Ambient,None,Watered Every Other,Flat,Hester,3.192332066,1.266069064,0.04352723469,-0.6653,0.2
50,Summer23,50,Phase2,Hester,50,0,0,PeatPot,PeatPot,Watered Every Other,Flat,Hester,3.192332066,1.266069064,0.04352723469,-0.6653,0.2
51,Summer23,51,Phase2,Hester,50,10,0.2,PottingSoil,None,Watered Every Other,Flat,Hester,2.659330582,3.802281756,0.03249658424,-0.6653,0.2
52,Summer23,52,Phase2,Hester,50,2,0.04,Compost,None,Watered Every Other,Flat,Hester,2.659330582,3.802281756,0.03249658424,-0.6653,0.2
53,Summer23,53,Phase2,Hester,50,4,0.08,Ambient,None,Watered Every Other,Flat,Hester,2.063789869,1.471325252,0.03849349211,-0.66529,0.2
