ID,Experiment,Replicate,Phase,Site,SeedsSown,SeedsGerminated,GermProportion,Soil,Containment,Watering,Microtopography,SeedSource,SoilOrganicMatter,SoilBulkDensity,SoilVWaterContent,Elevation,MonthPrecipitation,AnnualPrecipitation,25mVeg
1,Summer23,1,Phase1,Hester,50,2,0.04,Ambient,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
2,Summer23,2,Phase1,Hester,50,0,0,PeatPot,PeatPot,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
3,Summer23,3,Phase1,Hester,50,0,0,PottingSoil,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
4,Summer23,4,Phase1,Hester,50,0,0,Compost,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
5,Summer23,5,Phase1,Hester,50,0,0,Ambient,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
6,Summer23,6,Phase1,Hester,50,0,0,PeatPot,PeatPot,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
7,Summer23,7,Phase1,Hester,50,1,0.02,PottingSoil,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
8,Summer23,8,Phase1,Hester,50,0,0,Compost,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
9,Summer23,9,Phase1,Hester,50,0,0,Ambient,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
10,Summer23,10,Phase1,Hester,50,0,0,PeatPot,PeatPot,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
11,Summer23,11,Phase1,Hester,50,0,0,PottingSoil,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
12,Summer23,12,Phase1,Hester,50,1,0.02,Compost,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
13,Summer23,13,Phase1,Hester,50,0,0,Ambient,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
14,Summer23,14,Phase1,Hester,50,0,0,PeatPot,PeatPot,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
15,Summer23,15,Phase1,Hester,50,1,0.02,PottingSoil,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
16,Summer23,16,Phase1,Hester,50,1,0.02,Compost,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
17,Summer23,17,Phase1,Hester,50,0,0,Ambient,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
18,Summer23,18,Phase1,Hester,50,0,0,PeatPot,PeatPot,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
19,Summer23,19,Phase1,Hester,50,1,0.02,PottingSoil,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
20,Summer23,20,Phase1,Hester,50,0,0,Compost,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
21,Summer23,21,Phase1,Hester,50,0,0,Ambient,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
22,Summer23,22,Phase1,Hester,50,0,0,PeatPot,PeatPot,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
23,Summer23,23,Phase1,Hester,50,0,0,PottingSoil,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
24,Summer23,24,Phase1,Hester,50,0,0,Compost,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
25,Summer23,25,Phase1,Hester,50,0,0,Ambient,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
26,Summer23,26,Phase1,Hester,50,0,0,PeatPot,PeatPot,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
27,Summer23,27,Phase1,Hester,50,0,0,PottingSoil,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
