ID,SeedSource,Rep,SiteSown,Date,SeedCount,Notes
1,Estrada,1,Estrada,03-12-2026,37,largely on the perimeter or sidewall of the seeding hole (possibly Frankenia or Jaumea)
2,Estrada,2,Estrada,03-12-2026,35,largely on the perimeter or sidewall of the seeding hole (possibly Frankenia or Jaumea)
3,Estrada,3,Estrada,03-12-2026,75,largely on the perimeter or sidewall of the seeding hole (possibly Frankenia or Jaumea)
4,Estrada,4,Estrada,03-12-2026,3,largely on the perimeter or sidewall of the seeding hole (possibly Frankenia or Jaumea)
5,Estrada,5,Estrada,03-12-2026,7,largely on the perimeter or sidewall of the seeding hole (possibly Frankenia or Jaumea)
6,Estrada,6,Estrada,03-12-2026,0,
7,Estrada,7,Estrada,03-12-2026,36,largely on the perimeter or sidewall of the seeding hole (possibly Frankenia or Jaumea)
8,Estrada,8,Estrada,03-12-2026,7,largely on the perimeter or sidewall of the seeding hole (possibly Frankenia or Jaumea)
9,Estrada,9,Estrada,03-12-2026,0,
10,Estrada,10,Estrada,03-12-2026,5,largely on the perimeter or sidewall of the seeding hole (possibly Frankenia or Jaumea)
11,Hester,1,Estrada,03-12-2026,1,
12,Hester,2,Estrada,03-12-2026,2,(possibly Frankenia or Jaumea)
13,Hester,3,Estrada,03-12-2026,0,
14,Hester,4,Estrada,03-12-2026,0,
15,Hester,5,Estrada,03-12-2026,1,
16,Hester,6,Estrada,03-12-2026,0,
17,Hester,7,Estrada,03-12-2026,0,
18,Hester,8,Estrada,03-12-2026,0,
19,Hester,9,Estrada,03-12-2026,0,
20,Hester,10,Estrada,03-12-2026,0,
21,SharkFlats,1,Estrada,03-12-2026,1,
22,SharkFlats,2,Estrada,03-12-2026,4,
23,SharkFlats,3,Estrada,03-12-2026,0,
24,SharkFlats,4,Estrada,03-12-2026,3,
25,SharkFlats,5,Estrada,03-12-2026,0,
26,SharkFlats,6,Estrada,03-12-2026,3,(possibly Frankenia or Jaumea)
27,SharkFlats,7,Estrada,03-12-2026,2,(possibly Frankenia or Jaumea)
28,SharkFlats,8,Estrada,03-12-2026,4,(possibly Frankenia or Jaumea)
29,SharkFlats,9,Estrada,03-12-2026,2,(possibly Frankenia or Jaumea)
30,SharkFlats,10,Estrada,03-12-2026,4,(possibly Frankenia or Jaumea)
31,Control,1,Estrada,03-12-2026,0,
32,Control,2,Estrada,03-12-2026,1,
33,Control,3,Estrada,03-12-2026,8,(possibly Frankenia or Jaumea)
34,Control,4,Estrada,03-12-2026,0,
35,Control,5,Estrada,03-12-2026,1,
36,Control,6,Estrada,03-12-2026,1,(possibly Frankenia or Jaumea)
37,Control,7,Estrada,03-12-2026,0,
38,Control,8,Estrada,03-12-2026,0,
39,Control,9,Estrada,03-12-2026,0,
40,Control,10,Estrada,03-12-2026,0,
41,Estrada,1,Hester,03-12-2026,1,
42,Estrada,2,Hester,03-12-2026,0,
43,Estrada,3,Hester,03-12-2026,1,
44,Estrada,4,Hester,03-12-2026,1,
45,Estrada,5,Hester,03-12-2026,3,
46,Estrada,6,Hester,03-12-2026,,Plot marker lost
47,Estrada,7,Hester,03-12-2026,1,
48,Estrada,8,Hester,03-12-2026,1,Frankenia seedlings coming up outside plots 41-50
49,Estrada,9,Hester,03-12-2026,2,
50,Estrada,10,Hester,03-12-2026,0,
51,Hester,1,Hester,03-12-2026,0,
52,Hester,2,Hester,03-12-2026,0,
53,Hester,3,Hester,03-12-2026,0,
54,Hester,4,Hester,03-12-2026,0,
55,Hester,5,Hester,03-12-2026,0,
56,Hester,6,Hester,03-12-2026,0,
