ID,Area,Quadrat(N:S),StepsTaken,Microtopography,PercentCover,Seedlings,OtherSpecies?,Species#,Flag,
1,SeedAddition,1,18,Furrow,20,22,,,White,
2,SeedAddition,2,7,Ridge,5,34,,,,
3,SeedAddition,3,2,Furrow,20,74,,,Green,
4,SeedAddition,4,14,Ridge,5,14,,,,
5,SeedAddition,5,3,Furrow,10,9,,,Red,
6,SeedAddition,6,23,Ridge,5,25,,,,
7,SeedAddition,7,20,Furrow,5,16,,,Red,furrow already flattened
8,SeedAddition,8,8,Ridge,10,16,,,,
9,SeedAddition,9,1,Furrow,30,72,,,White,
10,SeedAddition,10,15,Ridge,10,38,,,,
11,SeedAddition,11,9,Furrow,35,14,,,Green,
12,SeedAddition,12,19,Ridge,10,30,,,,
13,SeedAddition,13,5,Furrow,15,14,,,White,
14,SeedAddition,14,20,Ridge,1,3,,,,
15,SeedAddition,15,24,Furrow,40,25,,,Green,
16,SeedAddition,16,11,Ridge,1,1,,,,
17,SeedAddition,17,12,Furrow,10,17,,,White,
18,SeedAddition,18,4,Ridge,5,49,,,,
19,SeedAddition,19,15,Furrow,10,60,,,Green,
20,SeedAddition,20,10,Ridge,1,8,,,,
21,SeedAddition,21,8,Furrow,1,2,,,Red,
22,SeedAddition,22,11,Ridge,1,5,,,,
23,SeedAddition,23,22,Furrow,15,32,,,Blue,
24,SeedAddition,24,5,Ridge,10,17,,,,
25,SeedAddition,25,22,Furrow,5,17,,,White,
26,SeedAddition,26,23,Ridge,10,25,,,,
27,SeedAddition,27,2,Furrow,30,15,,,Green,
28,SeedAddition,28,16,Ridge,10,20,,,,
29,SeedAddition,29,18,Furrow,20,15,,,Blue,
30,SeedAddition,30,13,Ridge,5,10,,,,
31,SeedAddition,31,4,Furrow,40,12,,,Red,
32,SeedAddition,32,1,Ridge,5,6,,,,
33,SeedAddition,33,17,Furrow,25,21,,,White,
34,SeedAddition,34,14,Ridge,10,19,,,,
35,SeedAddition,35,19,Furrow,20,39,,,Green,
36,SeedAddition,36,4,Ridge,15,10,,,,
37,SeedAddition,37,7,Furrow,20,16,,,White,
38,SeedAddition,38,13,Ridge,20,13,,,,
39,SeedAddition,39,21,Furrow,35,24,rabbits brush,,Green,
40,SeedAddition,40,9,Ridge,5,3,,,,
41,Control,1,1,Furrow,0,0,,,,
42,Control,2,17,Ridge,0,0,,,,
43,Control,3,11,Furrow,15,2,,,,
44,Control,4,4,Ridge,0,0,,,,
45,Control,5,20,Furrow,10,2,,,,
46,Control,6,10,Ridge,5,0,1 sperg dead,,,
47,Control,7,15,Furrow,10,1,,,,
48,Control,8,4,Ridge,5,1,1 sperg,,,
49,Control,9,1,Furrow,5,3,,,,
50,Control,10,12,Ridge,10,1,Blue,,,
51,Control,11,16,Furrow,10,1 large,,,,
52,Control,12,15,Ridge,0,0,,,,
53,Control,13,21,Furrow,1,1 large,,,,
54,Control,14,23,Ridge,1,1,,,,
55,Control,15,9,Furrow,10,1,,,,
56,Control,16,15,Ridge,40,1 large,,,,
57,Control,17,11,Furrow,35,3 large,,,,
58,Control,18,8,Ridge,0,0,,,,
59,Control,19,7,Furrow,1,1,,,,
60,Control,20,9,Ridge,5,1,,,,
61,Control,21,23,Furrow,1,1,,,,
62,Control,22,2,Ridge,10,2,,,,
63,Control,23,24,Furrow,5,0,1 sperg,,,
64,Control,24,19,Ridge,10,1,2 sperg,,,
65,Control,25,24,Furrow,5,2,,,,
66,Control,26,8,Ridge,20,3,,,,
67,Control,27,6,Furrow,1,0,1 sperg,,,
68,Control,28,4,Ridge,25,2,,,,
69,Control,29,13,Furrow,0,0,,,,
70,Control,30,19,Ridge,0,0,,,,
71,Control,31,5,Furrow,5,1,,,,
72,Control,32,1,Ridge,0,0,,,,
73,Control,33,20,Furrow,0,0,,,,
74,Control,34,19,Ridge,5,1,,,,
75,Control,35,11,Furrow,5,0,1 frank,,,
76,Control,36,20,Ridge,10,2,1 sperg and rabbit brush,,,
77,Control,37,16,Furrow,1,0,Rabbit brush,,,
78,Control,38,17,Ridge,0,0,,,,
79,Control,39,2,Furrow,5,1,,,,
80,Control,40,12,Ridge,10,2,,,,
,,,,,,,,,,
,,,1-24,,,,,,,
