,,,Observer,,MS,"RJ, SF",MS,SF,MS,MS,MS,SF,SF,SF,MS,BL,MS,MS,Melany,Melany,Melany/Rikke,Melany/Rikke,Melany,Melany,Melany,Melany
,,,Date,,2/14,2/16,2/21,2/23,2/26,2/28,3/4,3/6,3/11,3/13,3/20,3/25,4/10,05/03,5/29,5/29,7/3,7/3,8/5,8/5,9/4,9/4
IDTag,Microtopgraphy,Amendment,Seeds?,Seeds,Seedling count,Seedling count,Seedling count,Seedling count,Seedling count,Seedling count,Seedling count,Seedling count,Seedling count,Seedling count,Seedling count,Seedling count,Seedling count,Seedling count,Seedling Count,Max height (mm),Seedling Count,Max height (mm),Seedling Count,Max height (mm),Seedling Count,Max height (mm)
101,Flat,YampahMud+Paper,Yes,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Flat,YampahMud+Paper,Yes,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Flat,YampahMud+Paper,Yes,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Flat,YampahMud+Paper,Yes,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Flat,YampahMud+Paper,Yes,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Flat,YampahMud+Paper,Yes,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Flat,YampahMud+Paper,Control,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Flat,YampahMud+Paper,Control,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Flat,YampahMud+Paper,Control,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Flat,YampahMud+Paper,Control,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
111,Flat,YampahMud+Paper,Control,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Flat,YampahMud+Paper,Control,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Flat,ChannelMud+Paper,Yes,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Flat,ChannelMud+Paper,Yes,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Flat,ChannelMud+Paper,Yes,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Flat,ChannelMud+Paper,Yes,174,0,0,0,1 (pw)?,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Flat,ChannelMud+Paper,Yes,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Flat,ChannelMud+Paper,Yes,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Flat,ChannelMud+Paper,Control,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Flat,ChannelMud+Paper,Control,174,0,0,1 but probably not pickleweed,2,2,1,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Flat,ChannelMud+Paper,Control,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Flat,ChannelMud+Paper,Control,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Flat,ChannelMud+Paper,Control,174,0,0,1 but probably not pickleweed,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Flat,ChannelMud+Paper,Control,174,0,0,1 but probably not pickleweed,1,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
125,Flat,Coir+Paper,Yes,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Flat,Coir+Paper,Yes,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Flat,Coir+Paper,Yes,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Flat,Coir+Paper,Yes,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
