Type of Plot,Plot Number,Location Type,Location Number,Measurement Category,Value
Runnel,1,Bank,1,Small PW <10,0
Runnel,2,Bank,1,Small PW <10,0
Runnel,3,Bank,1,Small PW <10,0
Runnel,4,Bank,1,Small PW <10,0
Runnel,5,Bank,1,Small PW <10,1
Runnel,6,Bank,1,Small PW <10,0
Runnel,7,Bank,1,Small PW <10,0
Runnel,8,Bank,1,Small PW <10,0
Runnel,9,Bank,1,Small PW <10,0
Runnel,10,Bank,1,Small PW <10,0
Control ,1,Bank,1,Small PW <10,0
Control ,2,Bank,1,Small PW <10,1
Control ,3,Bank,1,Small PW <10,0
Control ,4,Bank,1,Small PW <10,0
Control ,5,Bank,1,Small PW <10,0
Control ,6,Bank,1,Small PW <10,0
Control ,7,Bank,1,Small PW <10,0
Control ,8,Bank,1,Small PW <10,0
Control ,9,Bank,1,Small PW <10,0
Control ,10,Bank,1,Small PW <10,0
Runnel,1,Bank,1,Big PW >10,5
Runnel,2,Bank,1,Big PW >10,0
Runnel,3,Bank,1,Big PW >10,10
Runnel,4,Bank,1,Big PW >10,6
Runnel,5,Bank,1,Big PW >10,3
Runnel,6,Bank,1,Big PW >10,4
Runnel,7,Bank,1,Big PW >10,1
Runnel,8,Bank,1,Big PW >10,3
Runnel,9,Bank,1,Big PW >10,2
Runnel,10,Bank,1,Big PW >10,0
Control ,1,Bank,1,Big PW >10,7
Control ,2,Bank,1,Big PW >10,7
Control ,3,Bank,1,Big PW >10,7
Control ,4,Bank,1,Big PW >10,5
Control ,5,Bank,1,Big PW >10,2
Control ,6,Bank,1,Big PW >10,5
Control ,7,Bank,1,Big PW >10,7
Control ,8,Bank,1,Big PW >10,2
Control ,9,Bank,1,Big PW >10,1
Control ,10,Bank,1,Big PW >10,7
Runnel,1,Bank,1,Other sp.,0
Runnel,2,Bank,1,Other sp.,0
Runnel,3,Bank,1,Other sp.,0
Runnel,4,Bank,1,Other sp.,0
Runnel,5,Bank,1,Other sp.,0
Runnel,6,Bank,1,Other sp.,0
Runnel,7,Bank,1,Other sp.,0
Runnel,8,Bank,1,Other sp.,0
Runnel,9,Bank,1,Other sp.,0
Runnel,10,Bank,1,Other sp.,0
Control ,1,Bank,1,Other sp.,0
Control ,2,Bank,1,Other sp.,0
Control ,3,Bank,1,Other sp.,0
Control ,4,Bank,1,Other sp.,0
Control ,5,Bank,1,Other sp.,0
Control ,6,Bank,1,Other sp.,0
Control ,7,Bank,1,Other sp.,0
Control ,8,Bank,1,Other sp.,0
Control ,9,Bank,1,Other sp.,0
Control ,10,Bank,1,Other sp.,0
Runnel,1,Bank,1,% cover,40
Runnel,2,Bank,1,% cover,0
Runnel,3,Bank,1,% cover,40
Runnel,4,Bank,1,% cover,20
Runnel,5,Bank,1,% cover,5
Runnel,6,Bank,1,% cover,15
Runnel,7,Bank,1,% cover,5
Runnel,8,Bank,1,% cover,5
Runnel,9,Bank,1,% cover,10
Runnel,10,Bank,1,% cover,0
Control ,1,Bank,1,% cover,35
Control ,2,Bank,1,% cover,70
Control ,3,Bank,1,% cover,25
Control ,4,Bank,1,% cover,30
Control ,5,Bank,1,% cover,10
Control ,6,Bank,1,% cover,20
Control ,7,Bank,1,% cover,30
Control ,8,Bank,1,% cover,10
Control ,9,Bank,1,% cover,5
Control ,10,Bank,1,% cover,50
Runnel,1,Bank,2,Small PW <10,0
Runnel,2,Bank,2,Small PW <10,0
Runnel,3,Bank,2,Small PW <10,0
Runnel,4,Bank,2,Small PW <10,0
Runnel,5,Bank,2,Small PW <10,0
Runnel,6,Bank,2,Small PW <10,0
Runnel,7,Bank,2,Small PW <10,0
Runnel,8,Bank,2,Small PW <10,0
Runnel,9,Bank,2,Small PW <10,0
Runnel,10,Bank,2,Small PW <10,0
Control ,1,Bank,2,Small PW <10,0
Control ,2,Bank,2,Small PW <10,2
Control ,3,Bank,2,Small PW <10,0
Control ,4,Bank,2,Small PW <10,0
Control ,5,Bank,2,Small PW <10,0
Control ,6,Bank,2,Small PW <10,0
Control ,7,Bank,2,Small PW <10,0
Control ,8,Bank,2,Small PW <10,0
Control ,9,Bank,2,Small PW <10,0
Control ,10,Bank,2,Small PW <10,0
Runnel,1,Bank,2,Big PW >10,4
Runnel,2,Bank,2,Big PW >10,0
Runnel,3,Bank,2,Big PW >10,7
Runnel,4,Bank,2,Big PW >10,4
Runnel,5,Bank,2,Big PW >10,0
Runnel,6,Bank,2,Big PW >10,0
Runnel,7,Bank,2,Big PW >10,0
Runnel,8,Bank,2,Big PW >10,1
Runnel,9,Bank,2,Big PW >10,0
Runnel,10,Bank,2,Big PW >10,0
Control ,1,Bank,2,Big PW >10,16
Control ,2,Bank,2,Big PW >10,6
Control ,3,Bank,2,Big PW >10,3
Control ,4,Bank,2,Big PW >10,1
Control ,5,Bank,2,Big PW >10,2
Control ,6,Bank,2,Big PW >10,0
Control ,7,Bank,2,Big PW >10,5
Control ,8,Bank,2,Big PW >10,0
Control ,9,Bank,2,Big PW >10,0
Control ,10,Bank,2,Big PW >10,2
Runnel,1,Bank,2,Other sp.,0
Runnel,2,Bank,2,Other sp.,0
Runnel,3,Bank,2,Other sp.,2 frankenia
Runnel,4,Bank,2,Other sp.,0
