Type of Plot,Plot Number,Location Type,Location Number,Measurement Category,Value
Runnel,1,Bank,1,Small PW <10,0
Runnel,1,Bank,1,Big PW >10,5
Runnel,1,Bank,1,Other sp.,0
Runnel,1,Bank,1,% cover,40
Runnel,1,Bank,2,Small PW <10,0
Runnel,1,Bank,2,Big PW >10,4
Runnel,1,Bank,2,Other sp.,0
Runnel,1,Bank,2,% cover,20
Runnel,1,Bank,3,Small PW <10,0
Runnel,1,Bank,3,Big PW >10,6
Runnel,1,Bank,3,Other sp.,0
Runnel,1,Bank,3,% cover,20
Runnel,1,Platform,1,Small PW <10,0
Runnel,1,Platform,1,Big PW >10,0
Runnel,1,Platform,1,Other sp.,0
Runnel,1,Platform,1,% cover,0
Runnel,1,Platform,2,Small PW <10,0
Runnel,1,Platform,2,Big PW >10,0
Runnel,1,Platform,2,Other sp.,0
Runnel,1,Platform,2,% cover,0
Runnel,1,Platform,3,Small PW <10,0
Runnel,1,Platform,3,Big PW >10,0
Runnel,1,Platform,3,Other sp.,0
Runnel,1,Platform,3,% cover,0
Runnel,2,Bank,1,Small PW <10,0
Runnel,2,Bank,1,Big PW >10,0
Runnel,2,Bank,1,Other sp.,0
Runnel,2,Bank,1,% cover,0
Runnel,2,Bank,2,Small PW <10,0
Runnel,2,Bank,2,Big PW >10,0
Runnel,2,Bank,2,Other sp.,0
Runnel,2,Bank,2,% cover,2
Runnel,2,Bank,3,Small PW <10,0
Runnel,2,Bank,3,Big PW >10,2
Runnel,2,Bank,3,Other sp.,0
Runnel,2,Bank,3,% cover,5
Runnel,2,Platform,1,Small PW <10,0
Runnel,2,Platform,1,Big PW >10,0
Runnel,2,Platform,1,Other sp.,0
Runnel,2,Platform,1,% cover,0
Runnel,2,Platform,2,Small PW <10,0
Runnel,2,Platform,2,Big PW >10,0
Runnel,2,Platform,2,Other sp.,0
Runnel,2,Platform,2,% cover,0
Runnel,2,Platform,3,Small PW <10,0
Runnel,2,Platform,3,Big PW >10,0
Runnel,2,Platform,3,Other sp.,0
Runnel,2,Platform,3,% cover,0
Runnel,3,Bank,1,Small PW <10,0
Runnel,3,Bank,1,Big PW >10,10
Runnel,3,Bank,1,Other sp.,0
Runnel,3,Bank,1,% cover,40
Runnel,3,Bank,2,Small PW <10,0
Runnel,3,Bank,2,Big PW >10,7
Runnel,3,Bank,2,Other sp.,2 frankenia
Runnel,3,Bank,2,% cover,30
Runnel,3,Bank,3,Small PW <10,0
Runnel,3,Bank,3,Big PW >10,6
Runnel,3,Bank,3,Other sp.,frankenia
Runnel,3,Bank,3,% cover,
Runnel,3,Platform,1,Small PW <10,0
Runnel,3,Platform,1,Big PW >10,0
