2,Soil,Salinity ,Moisture,PlantDate,Seeds,D5,D7,D9,D12,D14,D16,D19,D21,D23
1,PottingSoil,Saltwater,Low,2/14/2024,146,3,2,14,4,0,3,1,0,1
2,PottingSoil,Saltwater,Low,2/14/2024,146,8,4,15,9,3,0,0,0,4
3,PottingSoil,Saltwater,Low,2/14/2024,146,8,7,5,15,0,0,9,1,0
4,PottingSoil,Saltwater,Low,2/14/2024,146,9,2,1,13,0,6,0,0,0
5,PottingSoil,Saltwater,Low,2/14/2024,146,6,21,0,13,6,0,5,2,0
6,PottingSoil,Saltwater,Low,2/14/2024,146,7,20,8,6,4,0,1,10,0
7,PottingSoil,Saltwater,Medium,2/14/2024,146,10,13,4,1,6,3,1,2,0
8,PottingSoil,Saltwater,Medium,2/14/2024,146,10,6,9,5,0,0,9,2,1
9,PottingSoil,Saltwater,Medium,2/14/2024,146,9,4,9,9,4,0,3,12,0
10,PottingSoil,Saltwater,Medium,2/14/2024,146,4,9,0,9,6,2,0,5,0
11,PottingSoil,Saltwater,Medium,2/14/2024,146,5,4,2,7,7,0,3,0,0
12,PottingSoil,Saltwater,Medium,2/14/2024,146,6,1,8,4,4,4,0,3,0
13,PottingSoil,Saltwater,High,2/14/2024,146,13,6,5,11,0,0,1,0,0
14,PottingSoil,Saltwater,High,2/14/2024,146,8,9,3,13,0,7,1,0,1
15,PottingSoil,Saltwater,High,2/14/2024,146,4,14,1,7,0,10,0,0,10
16,PottingSoil,Saltwater,High,2/14/2024,146,11,5,10,4,0,5,0,0,0
17,PottingSoil,Saltwater,High,2/14/2024,146,8,5,12,0,3,6,0,1,0
18,PottingSoil,Saltwater,High,2/14/2024,146,11,12,2,5,0,2,2,3,0
19,PottingSoil,Freshwater,Low,2/14/2024,146,5,1,1,13,0,3,5,0,0
20,PottingSoil,Freshwater,Low,2/14/2024,146,2,14,9,2,7,0,2,0,0
21,PottingSoil,Freshwater,Low,2/14/2024,146,2,6,4,1,5,0,0,4,0
22,PottingSoil,Freshwater,Low,2/14/2024,146,3,18,3,9,0,0,2,4,0
23,PottingSoil,Freshwater,Low,2/14/2024,146,3,2,6,4,1,0,6,0,0
24,PottingSoil,Freshwater,Low,2/14/2024,146,2,3,5,2,5,4,0,0,0
25,PottingSoil,Freshwater,Medium,2/14/2024,146,5,0,0,0,5,0,1,5,0
26,PottingSoil,Freshwater,Medium,2/14/2024,146,2,10,0,15,0,0,13,3,0
27,PottingSoil,Freshwater,Medium,2/14/2024,146,0,1,4,0,6,0,3,0,1
28,PottingSoil,Freshwater,Medium,2/14/2024,146,2,0,9,0,3,7,2,0,0
29,PottingSoil,Freshwater,Medium,2/14/2024,146,11,9,11,7,2,0,6,0,0
30,PottingSoil,Freshwater,Medium,2/14/2024,146,5,0,11,6,5,0,0,0,0
31,PottingSoil,Freshwater,High,2/14/2024,146,5,0,0,0,1,0,2,1,0
32,PottingSoil,Freshwater,High,2/14/2024,146,3,7,8,1,1,0,4,1,0
33,PottingSoil,Freshwater,High,2/14/2024,146,5,4,8,8,2,5,0,3,0
