IDTag,Soil,Salinity ,Moisture,Seeds,D5,D7,D9,D12,D14,D16,D19,D21,D23
1,PottingSoil,Saltwater,Low,146,3,5,19,23,21,24,25,22,23
2,PottingSoil,Saltwater,Low,146,8,12,27,36,39,36,36,36,40
3,PottingSoil,Saltwater,Low,146,8,15,20,35,35,30,39,40,40
4,PottingSoil,Saltwater,Low,146,9,11,12,25,25,31,31,27,27
5,PottingSoil,Saltwater,Low,146,6,27,25,38,44,37,42,44,44
6,PottingSoil,Saltwater,Low,146,7,27,35,41,45,45,46,56,56
7,PottingSoil,Saltwater,Medium,146,10,23,27,28,34,37,38,40,38
8,PottingSoil,Saltwater,Medium,146,10,16,25,30,30,25,34,36,37
9,PottingSoil,Saltwater,Medium,146,9,13,22,31,35,33,36,48,48
10,PottingSoil,Saltwater,Medium,146,4,13,13,22,28,30,28,33,33
11,PottingSoil,Saltwater,Medium,146,5,9,11,18,25,25,28,28,28
12,PottingSoil,Saltwater,Medium,146,6,7,15,19,23,27,27,30,30
13,PottingSoil,Saltwater,High,146,13,19,24,35,35,30,31,31,30
14,PottingSoil,Saltwater,High,146,8,17,20,33,33,40,41,41,42
15,PottingSoil,Saltwater,High,146,4,18,19,26,26,36,36,32,42
16,PottingSoil,Saltwater,High,146,11,16,26,30,27,32,32,31,31
17,PottingSoil,Saltwater,High,146,8,13,25,25,28,34,28,29,29
18,PottingSoil,Saltwater,High,146,11,23,25,30,29,31,33,36,36
19,PottingSoil,Freshwater,Low,146,5,6,7,20,14,17,22,19,19
20,PottingSoil,Freshwater,Low,146,2,16,25,27,34,34,36,36,36
21,PottingSoil,Freshwater,Low,146,2,8,12,13,18,16,14,18,18
22,PottingSoil,Freshwater,Low,146,3,21,24,33,33,33,35,39,39
23,PottingSoil,Freshwater,Low,146,3,5,11,15,16,14,20,17,17
24,PottingSoil,Freshwater,Low,146,2,5,10,12,17,21,21,18,18
25,PottingSoil,Freshwater,Medium,146,5,3,3,3,8,2,3,8,7
26,PottingSoil,Freshwater,Medium,146,2,12,12,27,27,19,32,35,33
27,PottingSoil,Freshwater,Medium,146,0,1,5,5,11,10,13,11,12
28,PottingSoil,Freshwater,Medium,146,2,2,11,11,14,21,23,20,20
29,PottingSoil,Freshwater,Medium,146,11,20,31,38,40,33,39,39,38
30,PottingSoil,Freshwater,Medium,146,5,5,16,22,27,24,24,24,24
