Cup #,Moisture_level,Treatment,Moisture_level_QL,Photo_period,D1,D6,D13,MaxGerm,GermPerc,Total,exposure,moisture_7.17,moisture_7.18,moisture_7.26,moisture_7.31,moisture_8.7,Name,Notes
1,175,Soil,Hi,July Daylight,0,0,0,0,0,50,container,48,55.5,62.9,36.7,28.3,ZM,
2,175,Soil,Hi,July Daylight,0,0,0,0,0,50,container,48,55,61.7,52.2,36.2,ZM,
3,175,Soil,Hi,July Daylight,2,0,0,2,0.04,50,container,50.4,58.9,65.5,51.2,46.4,ZM,
4,175,Soil,Hi,July Daylight,0,0,0,0,0,50,container,47.3,53.7,62.6,33.5,46.8,ZM,
5,175,Soil,Hi,July Daylight,0,1,0,1,0.02,50,container,46.4,53.7,60.1,41.1,40.2,ZM,
1,125,Soil,MdHi,July Daylight,1,2,3,3,0.06,50,container,54,65.3,17.6,13.1,10.8,ZM,
2,125,Soil,MdHi,July Daylight,1,3,3,3,0.06,50,container,54.7,62.3,26.5,36.1,35.3,ZM,
3,125,Soil,MdHi,July Daylight,2,4,7,7,0.14,50,container,54.5,60.6,25,46.6,30.2,ZM,
4,125,Soil,MdHi,July Daylight,2,5,2,5,0.1,50,container,54.3,53.6,11.7,13.3,9.2,ZM,
5,125,Soil,MdHi,July Daylight,0,2,3,3,0.06,50,container,54.2,65.5,15.3,14.1,24.2,ZM,1 dead
1,100,Soil,MdLo,July Daylight,4,4,1,4,0.08,50,container,50.1,58.5,8.1,3,4.8,ZM,
2,100,Soil,MdLo,July Daylight,3,3,1,3,0.06,50,container,46.5,50.6,8.6,3.6,4.4,ZM,
3,100,Soil,MdLo,July Daylight,1,3,1,3,0.06,50,container,48.7,58.8,10.8,10.2,3.3,ZM,
4,100,Soil,MdLo,July Daylight,1,2,2,2,0.04,50,container,38,44.2,7.3,10.3,5.8,ZM,
5,100,Soil,MdLo,July Daylight,4,5,1,5,0.1,50,container,42,42,6.1,6.8,5.9,ZM,
1,60,Soil,Lo,July Daylight,1,0,1,1,0.02,50,container,20.9,14.3,5.8,5.9,3,ZM,
2,60,Soil,Lo,July Daylight,1,2,0,2,0.04,50,container,23.6,12.4,4.2,5.3,3.3,ZM,
3,60,Soil,Lo,July Daylight,0,0,0,0,0,50,container,34.1,23.5,5.4,4.7,3.7,ZM,
4,60,Soil,Lo,July Daylight,0,1,2,2,0.04,50,container,23.7,12.6,4.9,4.6,3.5,ZM,
5,60,Soil,Lo,July Daylight,0,0,0,0,0,50,container,10.7,13.9,4.1,4.8,3,ZM,
1,200,Water,Water,July Daylight,23,29,30,30,0.6,50,container,,,,,,ZW,
2,200,Water,Water,July Daylight,16,19,16,19,0.38,50,container,,,,,,ZW,
3,200,Water,Water,July Daylight,29,36,28,36,0.72,50,container,,,,,,ZW,
4,200,Water,Water,July Daylight,25,30,30,30,0.6,50,container,,,,,,ZW,
5,200,Water,Water,July Daylight,17,18,20,20,0.4,50,container,,,,,,ZW,
1,200,Water,Water,Darker,21,29,29,29,0.58,50,container,,,,,,ZW,
2,200,Water,Water,Darker,19,24,24,24,0.48,50,container,,,,,,ZW,
3,200,Water,Water,Darker,19,31,28,31,0.62,50,container,,,,,,ZW,
4,200,Water,Water,Darker,17,27,26,27,0.54,50,container,,,,,,ZW,
5,200,Water,Water,Darker,25,34,37,37,0.74,50,container,,,,,,ZW,
