ID Number,Tray #,Soak Time,Soak Temp,Salinity Soak,Soil Type,1,2,3,4,4.5,4.55,5,5.5,5.55,6,6.5,6.55,7,7.5,7.55,8,8.5,8.55,9,9.5,9.55,10,10.5,10.55,11,11.5,11.55,12,12.5,12.55,13,13.5,13.55,14,14.5,14.55,15,15.5,15.55
1,A,3hr,12 C,Freshwater,Potting Soil,0,0,11,13,2,2,22,9,1,23,1,1,15,-8,0,18,3,3,18,0,0,18,0,0,20,2,2,20,0,0,20,0,0,20,0,0,20,0,0
2,B,3hr,12 C,Freshwater,Potting Soil,0,0,6,13,7,7,17,4,4,22,5,5,22,0,0,22,0,0,22,0,0,22,0,0,23,1,1,23,0,0,23,0,0,23,0,0,23,0,0
3,C,3hr,12 C,Freshwater,Potting Soil,0,0,11,17,6,6,24,7,7,27,3,3,20,-7,0,21,1,1,21,0,0,21,0,0,23,2,2,23,0,0,23,0,0,23,0,0,23,0,0
4,D,3hr,12 C,Freshwater,Potting Soil,0,0,6,10,4,4,21,11,11,25,4,4,14,-11,0,14,0,0,1,-13,0,5,4,4,7,2,2,9,2,2,11,2,2,13,2,2,16,3,3
5,E,3hr,12 C,Freshwater,Potting Soil,0,0,11,21,10,10,24,3,3,25,1,1,26,1,1,26,0,0,24,-2,0,24,0,0,24,0,0,25,1,1,28,3,3,29,1,1,29,0,0
6,F,3hr,12 C,Freshwater,Potting Soil,0,0,13,21,8,8,31,10,10,32,1,1,32,0,0,32,0,0,33,1,1,33,0,0,33,0,0,33,0,0,33,0,0,33,0,0,30,-3,0
7,A,3hr,12 C,15ppt,Potting Soil,0,0,5,10,5,5,16,6,6,21,5,5,19,-2,0,19,0,0,16,-3,0,16,0,0,20,4,4,20,0,0,20,0,0,20,0,0,20,0,0
8,B,3hr,12 C,15ppt,Potting Soil,0,0,8,17,9,9,27,10,10,30,3,3,30,0,0,30,0,0,31,1,1,31,0,0,31,0,0,31,0,0,31,0,0,31,0,0,32,1,1
9,C,3hr,12 C,15ppt,Potting Soil,0,0,8,18,10,10,27,9,9,29,2,2,29,0,0,30,1,1,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0
10,D,3hr,12 C,15ppt,Potting Soil,0,0,10,17,7,7,23,6,6,26,3,3,21,-5,0,21,0,0,21,0,0,16,-5,0,16,0,0,16,0,0,16,0,0,18,2,2,18,0,0
11,E,3hr,12 C,15ppt,Potting Soil,0,0,7,15,8,8,22,7,7,24,2,2,28,4,4,29,1,1,32,3,3,32,0,0,28,-4,0,28,0,0,29,1,1,30,1,1,31,1,1
12,F,3hr,12 C,15ppt,Potting Soil,0,0,7,13,6,6,18,5,5,22,4,4,23,1,1,25,2,2,25,0,0,27,2,2,27,0,0,27,0,0,27,0,0,27,0,0,27,0,0
13,A,3hr,12 C,30ppt,Potting Soil,0,0,4,13,9,9,13,0,0,33,20,20,33,0,0,34,1,1,36,2,2,36,0,0,36,0,0,36,0,0,36,0,0,36,0,0,36,0,0
14,B,3hr,12 C,30ppt,Potting Soil,0,0,0,8,8,8,11,3,3,17,6,6,17,0,0,17,0,0,18,1,1,18,0,0,18,0,0,19,1,1,20,1,1,20,0,0,21,1,1
15,C,3hr,12 C,30ppt,Potting Soil,0,0,1,9,8,8,9,0,0,15,6,6,17,2,2,18,1,1,19,1,1,19,0,0,19,0,0,19,0,0,19,0,0,19,0,0,20,1,1
16,D,3hr,12 C,30ppt,Potting Soil,0,0,4,11,7,7,20,9,9,24,4,4,24,0,0,22,-2,0,22,0,0,23,1,1,23,0,0,23,0,0,23,0,0,24,1,1,24,0,0
17,E,3hr,12 C,30ppt,Potting Soil,0,0,5,20,15,15,24,4,4,24,0,0,31,7,7,32,1,1,32,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0,0
18,F,3hr,12 C,30ppt,Potting Soil,0,0,0,15,15,15,21,6,6,24,3,3,30,6,6,32,2,2,34,2,2,34,0,0,32,-2,0,33,1,1,33,0,0,33,0,0,33,0,0
19,G,1 day,12 C,Freshwater,Potting Soil,0,0,21,29,8,8,29,0,0,29,0,0,31,2,2,31,0,0,31,0,0,31,0,0,33,2,2,33,0,0,33,0,0,34,1,1,34,0,0
20,H,1 day,12 C,Freshwater,Potting Soil,0,0,10,12,2,2,15,3,3,15,0,0,17,2,2,19,2,2,19,0,0,20,1,1,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0
21,I,1 day,12 C,Freshwater,Potting Soil,0,0,13,17,4,4,18,1,1,20,2,2,20,0,0,20,0,0,20,0,0,21,1,1,21,0,0,21,0,0,21,0,0,21,0,0,22,1,1
22,J,1 day,12 C,Freshwater,Potting Soil,0,0,16,26,10,10,25,-1,0,25,0,0,25,0,0,23,-2,0,23,0,0,23,0,0,23,0,0,25,2,2,25,0,0,26,1,1,26,0,0
23,K,1 day,12 C,Freshwater,Potting Soil,0,0,16,23,7,7,24,1,1,24,0,0,28,4,4,31,3,3,31,0,0,28,-3,0,29,1,1,29,0,0,26,-3,0,26,0,0,26,0,0
24,L,1 day,12 C,Freshwater,Potting Soil,0,0,17,17,0,0,19,2,2,20,1,1,28,8,8,26,-2,0,30,4,4,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0
25,G,1 day,12 C,15ppt,Potting Soil,0,0,9,19,10,10,24,5,5,24,0,0,26,2,2,26,0,0,26,0,0,27,1,1,27,0,0,28,1,1,28,0,0,28,0,0,28,0,0
26,H,1 day,12 C,15ppt,Potting Soil,0,0,13,14,1,1,24,10,10,24,0,0,28,4,4,28,0,0,28,0,0,29,1,1,29,0,0,29,0,0,30,1,1,30,0,0,31,1,1
27,I,1 day,12 C,15ppt,Potting Soil,0,0,8,22,14,14,30,8,8,32,2,2,32,0,0,32,0,0,33,1,1,29,-4,0,30,1,1,33,3,3,33,0,0,33,0,0,33,0,0
28,J,1 day,12 C,15ppt,Potting Soil,0,0,7,10,3,3,19,9,9,19,0,0,24,5,5,21,-3,0,22,1,1,22,0,0,27,5,5,27,0,0,26,-1,0,26,0,0,26,0,0
29,K,1 day,12 C,15ppt,Potting Soil,0,0,13,18,5,5,24,6,6,35,11,11,38,3,3,39,1,1,39,0,0,39,0,0,40,1,1,40,0,0,40,0,0,40,0,0,40,0,0
30,L,1 day,12 C,15ppt,Potting Soil,0,0,12,17,5,5,23,6,6,24,1,1,25,1,1,27,2,2,27,0,0,21,-6,0,22,1,1,24,2,2,24,0,0,25,1,1,25,0,0
31,G,1 day,12 C,30ppt,Potting Soil,0,0,6,12,6,6,25,13,13,30,5,5,31,1,1,31,0,0,32,1,1,32,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0,0
32,H,1 day,12 C,30ppt,Potting Soil,0,0,8,19,11,11,24,5,5,27,3,3,27,0,0,27,0,0,27,0,0,27,0,0,28,1,1,28,0,0,29,1,1,30,1,1,30,0,0
33,I,1 day,12 C,30ppt,Potting Soil,0,0,5,17,12,12,21,4,4,30,9,9,31,1,1,31,0,0,31,0,0,32,1,1,28,-4,0,28,0,0,28,0,0,29,1,1,29,0,0
34,J,1 day,12 C,30ppt,Potting Soil,0,0,8,14,6,6,21,7,7,24,3,3,24,0,0,24,0,0,24,0,0,25,1,1,26,1,1,26,0,0,26,0,0,26,0,0,26,0,0
35,K,1 day,12 C,30ppt,Potting Soil,0,0,3,7,4,4,11,4,4,14,3,3,16,2,2,17,1,1,21,4,4,21,0,0,21,0,0,21,0,0,21,0,0,19,-2,0,19,0,0
36,L,1 day,12 C,30ppt,Potting Soil,0,0,9,16,7,7,24,8,8,28,4,4,28,0,0,29,1,1,29,0,0,30,1,1,30,0,0,30,0,0,30,0,0,30,0,0,31,1,1
37,M,7 days,12 C,Freshwater,Potting Soil,0,0,15,19,4,4,23,4,4,23,0,0,23,0,0,22,-1,0,22,0,0,21,-1,0,16,-5,0,16,0,0,15,-1,0,15,0,0,15,0,0
38,N,7 days,12 C,Freshwater,Potting Soil,0,0,12,17,5,5,16,-1,0,19,3,3,19,0,0,20,1,1,20,0,0,20,0,0,20,0,0,22,2,2,22,0,0,22,0,0,22,0,0
39,O,7 days,12 C,Freshwater,Potting Soil,0,0,14,22,8,8,21,-1,0,22,1,1,23,1,1,23,0,0,24,1,1,24,0,0,24,0,0,24,0,0,24,0,0,24,0,0,24,0,0
40,P,7 days,12 C,Freshwater,Potting Soil,0,0,18,22,4,4,29,7,7,29,0,0,29,0,0,24,-5,0,24,0,0,26,2,2,25,-1,0,25,0,0,21,-4,0,21,0,0,21,0,0
41,Q,7 days,12 C,Freshwater,Potting Soil,0,0,14,22,8,8,29,7,7,29,0,0,29,0,0,32,3,3,32,0,0,32,0,0,30,-2,0,30,0,0,30,0,0,31,1,1,31,0,0
42,R,7 days,12 C,Freshwater,Potting Soil,0,0,23,26,3,3,27,1,1,27,0,0,28,1,1,29,1,1,29,0,0,29,0,0,29,0,0,29,0,0,29,0,0,29,0,0,29,0,0
43,M,7 days,12 C,15ppt,Potting Soil,0,0,13,27,14,14,30,3,3,30,0,0,30,0,0,28,-2,0,28,0,0,26,-2,0,29,3,3,29,0,0,29,0,0,29,0,0,29,0,0
