SiteID,Seed Source,Harvest,Replicate,Counts,Seeds,Germ,Average,Size,Sized,AvgSize
2,JettyRidge,Early,1,16,50,0.32,0.27,14.5,1.45,1.58
2,JettyRidge,Early,2,18,50,0.36,0.27,14.9,1.49,1.58
2,JettyRidge,Early,3,7,50,0.14,0.27,14.9,1.49,1.58
6,Estrada,Early,1,12,50,0.24,0.31,14.6,1.46,1.47
6,Estrada,Early,2,17,50,0.34,0.31,14.5,1.45,1.47
6,Estrada,Early,3,17,50,0.34,0.31,15.1,1.51,1.47
Hester,Hester1,Early,1,11,50,0.22,0.3,13.9,1.39,1.42
Hester,Hester1,Early,2,14,50,0.28,0.3,14.3,1.43,1.42
Hester,Hester1,Early,3,20,50,0.4,0.3,14.3,1.43,1.42
Hester,Hester2,Early,1,19,50,0.38,0.4,16.6,1.66,1.58
Hester,Hester2,Early,2,17,50,0.34,0.4,16.7,1.67,1.58
Hester,Hester2,Early,3,24,50,0.48,0.4,16.3,1.63,1.58
Hester,Hester2,Late,1,29,50,0.58,0.49,15,1.5,1.58
Hester,Hester2,Late,2,14,50,0.28,0.49,15.4,1.54,1.58
Hester,Hester2,Late,3,31,50,0.62,0.49,15,1.5,1.58
4,SouthMarsh,Early,1,6,50,0.12,0.17,15.6,1.56,1.55
4,SouthMarsh,Early,2,8,50,0.16,0.17,15.1,1.51,1.55
4,SouthMarsh,Early,3,11,50,0.22,0.17,15.7,1.57,1.55
3,MoroCojo,Early,1,6,50,0.12,0.14,15.6,1.56,1.52
3,MoroCojo,Early,2,10,50,0.2,0.14,14.3,1.43,1.52
3,MoroCojo,Early,3,5,50,0.1,0.14,14.3,1.43,1.52
3,MoroCojo,Late,1,6,50,0.12,0.09,15.3,1.53,1.52
3,MoroCojo,Late,2,4,50,0.08,0.09,15.9,1.59,1.52
3,MoroCojo,Late,3,3,50,0.06,0.09,15.4,1.54,1.52
1,MLWA,Early,1,21,50,0.42,0.37,14.5,1.45,1.45
1,MLWA,Early,2,21,50,0.42,0.37,14.5,1.45,1.45
1,MLWA,Early,3,13,50,0.26,0.37,14.4,1.44,1.45
8,Yampah,Early,1,6,50,0.12,0.16,14.9,1.49,1.48
8,Yampah,Early,2,10,50,0.2,0.16,14.7,1.47,1.48
8,Yampah,Early,3,8,50,0.16,0.16,14.4,1.44,1.48
7,Kirby,Early,1,8,50,0.16,0.19,13.6,1.36,1.39
7,Kirby,Early,2,9,50,0.18,0.19,13.9,1.39,1.39
7,Kirby,Early,3,12,50,0.24,0.19,14.4,1.44,1.39
5,APC,Early,1,16,50,0.32,0.28,16.1,1.61,1.58
5,APC,Early,2,15,50,0.3,0.28,15.2,1.52,1.58
5,APC,Early,3,11,50,0.22,0.28,16.2,1.62,1.58
