Seed Source,Harvest,Replicate,Counts,Seeds,Germ,Average
JettyRidge,Early,1,16,50,0.32,0.27
JettyRidge,Early,2,18,50,0.36,0.27
JettyRidge,Early,3,7,50,0.14,0.27
Estrada,Early,1,12,50,0.24,0.31
Estrada,Early,2,17,50,0.34,0.31
Estrada,Early,3,17,50,0.34,0.31
Hester1,Early,1,11,50,0.22,0.3
Hester1,Early,2,14,50,0.28,0.3
Hester1,Early,3,20,50,0.4,0.3
Hester2,Early,1,19,50,0.38,0.4
Hester2,Early,2,17,50,0.34,0.4
Hester2,Early,3,24,50,0.48,0.4
Hester2,Late,1,29,50,0.58,0.49
Hester2,Late,2,14,50,0.28,0.49
Hester2,Late,3,31,50,0.62,0.49
SouthMarsh,Early,1,6,50,0.12,0.17
SouthMarsh,Early,2,8,50,0.16,0.17
SouthMarsh,Early,3,11,50,0.22,0.17
MoroCojo,Early,1,6,50,0.12,0.14
MoroCojo,Early,2,10,50,0.2,0.14
MoroCojo,Early,3,5,50,0.1,0.14
MoroCojo,Late,1,6,50,0.12,0.09
MoroCojo,Late,2,4,50,0.08,0.09
MoroCojo,Late,3,3,50,0.06,0.09
MLWA,Early,1,21,50,0.42,0.37
MLWA,Early,2,21,50,0.42,0.37
MLWA,Early,3,13,50,0.26,0.37
Yampah,Early,1,6,50,0.12,0.16
Yampah,Early,2,10,50,0.2,0.16
Yampah,Early,3,8,50,0.16,0.16
Kirby,Early,1,8,50,0.16,0.19
Kirby,Early,2,9,50,0.18,0.19
Kirby,Early,3,12,50,0.24,0.19
APC,Early,1,16,50,0.32,0.28
APC,Early,2,15,50,0.3,0.28
APC,Early,3,11,50,0.22,0.28
