Seed Source,Harvest,Replicate,StartDate,M1-11.1,M2-11.3,M3-11.5,M7-11.7,M10-11.11,HighestV,Seeds,Germ
JettyRidge,Early,1,10/29/2024,2,6,5,5,5,6,50,0.12
JettyRidge,Early,2,10/29/2024,6,13,14,14,14,14,50,0.28
JettyRidge,Early,3,10/29/2024,4,9,9,9,9,9,50,0.18
Estrada,Early,1,10/30/2024,6,16,17,16,17,17,50,0.34
Estrada,Early,2,10/30/2024,4,11,15,15,15,15,50,0.3
Estrada,Early,3,10/30/2024,4,9,13,13,13,13,50,0.26
Hester1,Early,1,10/29/2024,12,19,21,22,21,22,50,0.44
Hester1,Early,2,10/29/2024,10,19,19,19,19,19,50,0.38
Hester1,Early,3,10/29/2024,4,18,18,19,20,20,50,0.4
Hester2,Early,1,10/29/2024,5,12,16,18,20,20,50,0.4
Hester2,Early,2,10/29/2024,8,20,20,19,21,21,50,0.42
Hester2,Early,3,10/29/2024,6,16,16,17,17,17,50,0.34
Hester2,Late,1,10/31/2024,3,20,24,25,26,26,50,0.52
Hester2,Late,2,10/31/2024,5,18,20,21,22,22,50,0.44
Hester2,Late,3,10/31/2024,4,16,21,21,21,21,50,0.42
SouthMarsh,Early,1,10/31/2024,0,0,2,2,2,2,50,0.04
SouthMarsh,Early,2,10/31/2024,0,2,5,6,6,6,50,0.12
SouthMarsh,Early,3,10/31/2024,0,2,3,3,3,3,50,0.06
MoroCojo,Early,1,10/29/2024,1,5,5,5,5,5,50,0.1
MoroCojo,Early,2,10/29/2024,1,5,6,7,7,7,50,0.14
MoroCojo,Early,3,10/29/2024,3,7,7,7,7,7,50,0.14
MoroCojo,Late,1,10/31/2024,0,1,1,1,1,1,50,0.02
MoroCojo,Late,2,10/31/2024,0,0,0,0,0,0,50,0
MoroCojo,Late,3,10/31/2024,0,1,1,1,1,1,50,0.02
MLWA,Early,1,10/30/2024,2,10,15,15,15,15,50,0.3
MLWA,Early,2,10/30/2024,2,9,10,10,10,10,50,0.2
MLWA,Early,3,10/30/2024,1,12,15,16,17,17,50,0.34
Yampah,Early,1,10/30/2024,0,0,1,1,3,3,50,0.06
Yampah,Early,2,10/30/2024,0,0,0,0,0,0,50,0
Yampah,Early,3,10/30/2024,1,0,0,0,0,0,50,0
Kirby,Early,1,10/30/2024,1,0,3,3,3,3,50,0.06
Kirby,Early,2,10/30/2024,1,3,4,4,4,4,50,0.08
Kirby,Early,3,10/30/2024,0,6,10,10,11,11,50,0.22
APC,Early,1,10/29/2024,3,13,16,16,18,18,50,0.36
APC,Early,2,10/29/2024,3,13,14,15,15,15,50,0.3
APC,Early,3,10/29/2024,4,11,13,12,13,13,50,0.26
