IDTag,TidalCat,SiteID,Source,SiteType,Succulence,Transect ,Elevation,Seeds,Total,Rate
1,Restored,Restored,HesterP2,Restoration,Brown,12.1,2.281,0,50,0
2,Restored,Restored,HesterP2,Restoration,Brown,12.1,2.281,0,50,0
3,Restored,Restored,HesterP2,Restoration,Brown,12.1,2.281,2,50,0.04
4,Restored,Restored,HesterP2,Restoration,Brown,12.1,2.281,1,50,0.02
5,Restored,Restored,HesterP2,Restoration,Brown,12.1,2.281,4,50,0.08
6,Restored,Restored,HesterP2,Restoration,Brown,12.1,2.281,10,50,0.2
7,Restored,Restored,HesterP2,Restoration,Brown,12.1,2.281,0,50,0
8,Restored,Restored,HesterP2,Restoration,Brown,12.1,2.281,5,50,0.1
9,Restored,Restored,HesterP2,Restoration,Brown,12.1,2.281,0,50,0
10,Restored,Restored,HesterP2,Restoration,Brown,12.1,2.281,1,50,0.02
11,Restored,Restored,HesterP2,Restoration,Brown,12.6,2.091,0,50,0
12,Restored,Restored,HesterP2,Restoration,Brown,12.6,2.091,11,50,0.22
13,Restored,Restored,HesterP2,Restoration,Brown,12.6,2.091,0,50,0
14,Restored,Restored,HesterP2,Restoration,Brown,12.6,2.091,15,50,0.3
15,Restored,Restored,HesterP2,Restoration,Brown,12.6,2.091,19,50,0.38
16,Restored,Restored,HesterP2,Restoration,Brown,12.6,2.091,2,50,0.04
17,Restored,Restored,HesterP2,Restoration,Brown,12.6,2.091,8,50,0.16
18,Restored,Restored,HesterP2,Restoration,Brown,12.6,2.091,13,50,0.26
19,Restored,Restored,HesterP2,Restoration,Brown,12.6,2.091,19,50,0.38
20,Restored,Restored,HesterP2,Restoration,Brown,12.6,2.091,4,50,0.08
21,Restored,Restored,HesterP2,Restoration,Brown,12.1,2.061,15,50,0.3
22,Restored,Restored,HesterP2,Restoration,Brown,12.1,2.061,22,50,0.44
23,Restored,Restored,HesterP2,Restoration,Brown,12.1,2.061,3,50,0.06
24,Restored,Restored,HesterP2,Restoration,Brown,12.1,2.061,31,50,0.62
25,Restored,Restored,HesterP2,Restoration,Brown,12.1,2.061,20,50,0.4
26,Restored,Restored,HesterP2,Restoration,Brown,12.1,2.061,6,50,0.12
27,Restored,Restored,HesterP2,Restoration,Brown,12.1,2.061,29,50,0.58
28,Restored,Restored,HesterP2,Restoration,Brown,12.1,2.061,10,50,0.2
29,Restored,Restored,HesterP2,Restoration,Brown,12.1,2.061,21,50,0.42
30,Restored,Restored,HesterP2,Restoration,Brown,12.1,2.061,9,50,0.18
31,Restored,Restored,HesterP2,Restoration,Brown,11.2,2.281,7,50,0.14
32,Restored,Restored,HesterP2,Restoration,Brown,11.2,2.281,4,50,0.08
33,Restored,Restored,HesterP2,Restoration,Brown,11.2,2.281,2,50,0.04
34,Restored,Restored,HesterP2,Restoration,Brown,11.2,2.281,6,50,0.12
35,Restored,Restored,HesterP2,Restoration,Brown,11.2,2.281,6,50,0.12
36,Restored,Restored,HesterP2,Restoration,Brown,11.2,2.281,7,50,0.14
37,Restored,Restored,HesterP2,Restoration,Brown,11.2,2.281,1,50,0.02
38,Restored,Restored,HesterP2,Restoration,Brown,11.2,2.281,12,50,0.24
39,Restored,Restored,HesterP2,Restoration,Brown,11.2,2.281,1,50,0.02
40,Restored,Restored,HesterP2,Restoration,Brown,11.2,2.281,0,50,0
41,Restored,Restored,HesterP2,Restoration,Brown,11.6,1.99,0,50,0
42,Restored,Restored,HesterP2,Restoration,Brown,11.6,1.99,3,50,0.06
43,Restored,Restored,HesterP2,Restoration,Brown,11.6,1.99,9,50,0.18
44,Restored,Restored,HesterP2,Restoration,Brown,11.6,1.99,9,50,0.18
45,Restored,Restored,HesterP2,Restoration,Brown,11.6,1.99,1,50,0.02
46,Restored,Restored,HesterP2,Restoration,Brown,11.6,1.99,3,50,0.06
47,Restored,Restored,HesterP2,Restoration,Brown,11.6,1.99,20,50,0.4
48,Restored,Restored,HesterP2,Restoration,Brown,11.6,1.99,24,50,0.48
49,Restored,Restored,HesterP2,Restoration,Brown,11.6,1.99,21,50,0.42
50,Restored,Restored,HesterP2,Restoration,Brown,11.6,1.99,25,50,0.5
51,Restored,Restored,HesterP2,Restoration,Brown,11.1,1.937,9,50,0.18
52,Restored,Restored,HesterP2,Restoration,Brown,11.1,1.937,23,50,0.46
53,Restored,Restored,HesterP2,Restoration,Brown,11.1,1.937,9,50,0.18
54,Restored,Restored,HesterP2,Restoration,Brown,11.1,1.937,2,50,0.04
55,Restored,Restored,HesterP2,Restoration,Brown,11.1,1.937,11,50,0.22
56,Restored,Restored,HesterP2,Restoration,Brown,11.1,1.937,29,50,0.58
57,Restored,Restored,HesterP2,Restoration,Brown,11.1,1.937,7,50,0.14
58,Restored,Restored,HesterP2,Restoration,Brown,11.1,1.937,11,50,0.22
59,Restored,Restored,HesterP2,Restoration,Brown,11.1,1.937,8,50,0.16
60,Restored,Restored,HesterP2,Restoration,Brown,11.1,1.937,8,50,0.16
61,Restored,Restored,HesterP1,Restoration,Brown,5.2,2.144,0,50,0
62,Restored,Restored,HesterP1,Restoration,Brown,5.2,2.144,6,50,0.12
63,Restored,Restored,HesterP1,Restoration,Brown,5.2,2.144,2,50,0.04
64,Restored,Restored,HesterP1,Restoration,Brown,5.2,2.144,5,50,0.1
65,Restored,Restored,HesterP1,Restoration,Brown,5.2,2.144,14,50,0.28
66,Restored,Restored,HesterP1,Restoration,Brown,5.2,2.144,20,50,0.4
67,Restored,Restored,HesterP1,Restoration,Brown,5.2,2.144,7,50,0.14
68,Restored,Restored,HesterP1,Restoration,Brown,5.2,2.144,0,50,0
69,Restored,Restored,HesterP1,Restoration,Brown,5.2,2.144,5,50,0.1
70,Restored,Restored,HesterP1,Restoration,Brown,5.2,2.144,8,50,0.16
71,Restored,Restored,HesterP1,Restoration,Brown,5.4,2.019,3,50,0.06
72,Restored,Restored,HesterP1,Restoration,Brown,5.4,2.019,8,50,0.16
73,Restored,Restored,HesterP1,Restoration,Brown,5.4,2.019,28,50,0.56
74,Restored,Restored,HesterP1,Restoration,Brown,5.4,2.019,19,50,0.38
75,Restored,Restored,HesterP1,Restoration,Brown,5.4,2.019,3,50,0.06
76,Restored,Restored,HesterP1,Restoration,Brown,5.4,2.019,3,50,0.06
77,Restored,Restored,HesterP1,Restoration,Brown,5.4,2.019,16,50,0.32
78,Restored,Restored,HesterP1,Restoration,Brown,5.4,2.019,1,50,0.02
79,Restored,Restored,HesterP1,Restoration,Brown,5.4,2.019,7,50,0.14
80,Restored,Restored,HesterP1,Restoration,Brown,5.4,2.019,4,50,0.08
81,Restored,Restored,HesterP1,Restoration,Brown,5.6,1.846,4,50,0.08
82,Restored,Restored,HesterP1,Restoration,Brown,5.6,1.846,17,50,0.34
83,Restored,Restored,HesterP1,Restoration,Brown,5.6,1.846,36,50,0.72
84,Restored,Restored,HesterP1,Restoration,Brown,5.6,1.846,5,50,0.1
85,Restored,Restored,HesterP1,Restoration,Brown,5.6,1.846,2,50,0.04
86,Restored,Restored,HesterP1,Restoration,Brown,5.6,1.846,5,50,0.1
87,Restored,Restored,HesterP1,Restoration,Brown,5.6,1.846,25,50,0.5
88,Restored,Restored,HesterP1,Restoration,Brown,5.6,1.846,19,50,0.38
89,Restored,Restored,HesterP1,Restoration,Brown,5.6,1.846,5,50,0.1
90,Restored,Restored,HesterP1,Restoration,Brown,5.6,1.846,10,50,0.2
91,Restored,Restored,HesterP1,Restoration,Brown,2.2,2.264,13,50,0.26
92,Restored,Restored,HesterP1,Restoration,Brown,2.2,2.264,1,50,0.02
93,Restored,Restored,HesterP1,Restoration,Brown,2.2,2.264,10,50,0.2
94,Restored,Restored,HesterP1,Restoration,Brown,2.2,2.264,7,50,0.14
95,Restored,Restored,HesterP1,Restoration,Brown,2.2,2.264,1,50,0.02
96,Restored,Restored,HesterP1,Restoration,Brown,2.2,2.264,10,50,0.2
97,Restored,Restored,HesterP1,Restoration,Brown,2.2,2.264,7,50,0.14
98,Restored,Restored,HesterP1,Restoration,Brown,2.2,2.264,3,50,0.06
99,Restored,Restored,HesterP1,Restoration,Brown,2.2,2.264,24,50,0.48
100,Restored,Restored,HesterP1,Restoration,Brown,2.2,2.264,4,50,0.08
101,Restored,Restored,HesterP1,Restoration,Brown,2.3,1.997,3,50,0.06
102,Restored,Restored,HesterP1,Restoration,Brown,2.3,1.997,5,50,0.1
103,Restored,Restored,HesterP1,Restoration,Brown,2.3,1.997,29,50,0.58
104,Restored,Restored,HesterP1,Restoration,Brown,2.3,1.997,2,50,0.04
105,Restored,Restored,HesterP1,Restoration,Brown,2.3,1.997,19,50,0.38
106,Restored,Restored,HesterP1,Restoration,Brown,2.3,1.997,4,50,0.08
107,Restored,Restored,HesterP1,Restoration,Brown,2.3,1.997,5,50,0.1
108,Restored,Restored,HesterP1,Restoration,Brown,2.3,1.997,10,50,0.2
109,Restored,Restored,HesterP1,Restoration,Brown,2.3,1.997,31,50,0.62
110,Restored,Restored,HesterP1,Restoration,Brown,2.3,1.997,13,50,0.26
111,Restored,Restored,HesterP1,Restoration,Brown,2.1,1.824,8,50,0.16
112,Restored,Restored,HesterP1,Restoration,Brown,2.1,1.824,14,50,0.28
113,Restored,Restored,HesterP1,Restoration,Brown,2.1,1.824,8,50,0.16
114,Restored,Restored,HesterP1,Restoration,Brown,2.1,1.824,7,50,0.14
115,Restored,Restored,HesterP1,Restoration,Brown,2.1,1.824,8,50,0.16
116,Restored,Restored,HesterP1,Restoration,Brown,2.1,1.824,17,50,0.34
117,Restored,Restored,HesterP1,Restoration,Brown,2.1,1.824,1,50,0.02
118,Restored,Restored,HesterP1,Restoration,Brown,2.1,1.824,12,50,0.24
119,Restored,Restored,HesterP1,Restoration,Brown,2.1,1.824,16,50,0.32
120,Restored,Restored,HesterP1,Restoration,Brown,2.1,1.824,8,50,0.16
121,Restored,Restored,HesterP1,Restoration,Brown,4.1,1.637,4,50,0.08
122,Restored,Restored,HesterP1,Restoration,Brown,4.1,1.637,2,50,0.04
123,Restored,Restored,HesterP1,Restoration,Brown,4.1,1.637,6,50,0.12
124,Restored,Restored,HesterP1,Restoration,Brown,4.1,1.637,8,50,0.16
125,Restored,Restored,HesterP1,Restoration,Brown,4.1,1.637,9,50,0.18
126,Restored,Restored,HesterP1,Restoration,Brown,4.1,1.637,1,50,0.02
127,Restored,Restored,HesterP1,Restoration,Brown,4.1,1.637,4,50,0.08
128,Restored,Restored,HesterP1,Restoration,Brown,4.1,1.637,2,50,0.04
