IDTag,TidalCat,SiteID,Seed Source,Watering,Seeds,D4,D6,D8,D11,D13,D15,D18,D20,D22
181,Muted,Muted3,JettyRidge,Low,148,0,8,8,9,11,12,12,12,12
182,Muted,Muted3,JettyRidge,Low,148,0,6,10,11,12,11,11,11,10
183,Muted,Muted3,JettyRidge,Low,148,0,8,10,10,11,11,11,11,11
184,Muted,Muted3,JettyRidge,Low,148,0,8,4,1,1,2,2,2,2
185,Muted,Muted3,JettyRidge,Low,148,0,6,7,4,6,6,7,8,8
186,Muted,Muted3,JettyRidge,Low,148,0,4,4,5,5,5,5,5,5
187,Muted,Muted3,JettyRidge,High,148,0,2,4,2,2,2,3,3,3
188,Muted,Muted3,JettyRidge,High,148,0,4,4,4,5,5,5,5,5
189,Muted,Muted3,JettyRidge,High,148,0,2,0,4,4,4,4,4,4
190,Muted,Muted3,JettyRidge,High,148,0,7,10,11,15,19,19,20,20
191,Muted,Muted3,JettyRidge,High,148,0,4,5,7,8,9,10,10,10
192,Muted,Muted3,JettyRidge,High,148,0,5,6,9,9,9,9,7,7
193,Muted,Muted5,MoroCojo,Low,142,0,6,7,7,9,9,9,9,9
194,Muted,Muted5,MoroCojo,Low,142,0,2,5,4,6,5,5,4,5
195,Muted,Muted5,MoroCojo,Low,142,0,15,17,21,22,21,21,21,20
196,Muted,Muted5,MoroCojo,Low,142,0,3,3,4,4,6,5,5,5
197,Muted,Muted5,MoroCojo,Low,142,0,8,9,14,14,16,16,16,16
198,Muted,Muted5,MoroCojo,Low,142,0,11,14,15,15,16,16,15,14
199,Muted,Muted5,MoroCojo,High,142,0,3,3,4,4,6,6,5,7
200,Muted,Muted5,MoroCojo,High,142,0,6,6,6,6,7,7,5,5
201,Muted,Muted5,MoroCojo,High,142,0,5,7,10,11,11,11,11,11
202,Muted,Muted5,MoroCojo,High,142,0,3,4,4,4,5,5,5,5
203,Muted,Muted5,MoroCojo,High,142,0,5,5,10,10,10,10,9,7
204,Muted,Muted5,MoroCojo,High,142,0,2,2,3,3,4,4,3,3
205,Muted,Muted2,Estrada,Low,98,0,3,5,5,4,6,6,6,6
206,Muted,Muted2,Estrada,Low,98,0,6,11,14,15,16,16,16,16
207,Muted,Muted2,Estrada,Low,98,0,12,16,16,18,22,22,21,20
208,Muted,Muted2,Estrada,Low,98,0,14,18,18,18,18,18,15,15
209,Muted,Muted2,Estrada,Low,98,0,5,8,8,8,8,10,10,10
