TagID,Soil Type,TidalCat,SiteID,Seed Source,Seeds,3/25/2024,3/26/2024,3/27/2024,3/28/2024,3/29/2024,3/31/2024,4/1/2024,4/2/2024,4/3/2024,4/8/2024,4/11/2024,4/17/2024,4/23/2024
1,Potting Soil,Muted,Muted3,JettyRidge,148,0,1,22,32,33,33,47,51,68,69,82,68,73
2,Potting Soil,Muted,Muted3,JettyRidge,148,0,0,0,5,7,9,12,10,17,29,36,45,40
3,Potting Soil,Muted,Muted3,JettyRidge,148,0,1,2,8,7,10,12,12,17,29,42,45,53
4,Potting Soil,Muted,Muted3,JettyRidge,148,0,0,2,14,17,19,19,21,24,37,47,50,55
5,Potting Soil,Muted,Muted3,JettyRidge,148,0,0,0,3,5,6,7,7,10,20,20,18,24
6,Potting Soil,Muted,Muted3,JettyRidge,148,1,1,3,6,10,14,21,29,39,48,59,63,66
7,Combo,Muted,Muted3,JettyRidge,148,0,0,0,1,5,5,3,2,3,5,6,10,11
8,Combo,Muted,Muted3,JettyRidge,148,0,0,0,2,3,7,7,7,8,11,14,25,25
9,Combo,Muted,Muted3,JettyRidge,148,0,0,0,1,5,5,2,3,8,5,9,10,9
10,Combo,Muted,Muted3,JettyRidge,148,1,0,0,8,6,7,5,4,9,6,7,12,11
11,Combo,Muted,Muted3,JettyRidge,148,0,0,1,3,5,10,3,10,10,16,9,15,14
12,Combo,Muted,Muted3,JettyRidge,148,0,0,0,0,4,5,8,12,15,33,31,51,43
13,Hester,Muted,Muted3,JettyRidge,148,1,3,6,4,4,4,5,7,16,27,36,51,48
14,Hester,Muted,Muted3,JettyRidge,148,0,0,0,0,2,5,6,1,8,33,4,10,11
15,Hester,Muted,Muted3,JettyRidge,148,0,0,0,0,3,,6,9,10,25,2,0,0
16,Hester,Muted,Muted3,JettyRidge,148,0,0,0,3,2,5,7,5,9,20,17,39,38
17,Hester,Muted,Muted3,JettyRidge,148,0,0,0,0,0,0,3,6,6,13,17,30,39
18,Hester,Muted,Muted3,JettyRidge,148,0,0,0,1,0,2,2,4,6,14,12,16,18
19,Potting Soil,Muted,Muted5,MoroCojo,142,1,1,2,5,6,6,8,14,18,27,35,34,43
20,Potting Soil,Muted,Muted5,MoroCojo,142,0,0,2,4,6,11,10,17,21,32,37,39,34
21,Potting Soil,Muted,Muted5,MoroCojo,142,0,0,2,5,9,10,13,19,25,31,40,33,36
22,Potting Soil,Muted,Muted5,MoroCojo,142,0,1,2,10,15,16,19,23,28,34,44,49,47
23,Potting Soil,Muted,Muted5,MoroCojo,142,0,0,1,3,7,12,20,23,26,38,35,41,44
24,Potting Soil,Muted,Muted5,MoroCojo,142,0,0,1,5,11,11,10,11,15,19,29,29,22
25,Combo,Muted,Muted5,MoroCojo,142,0,0,0,1,3,5,3,3,3,4,10,11,12
26,Combo,Muted,Muted5,MoroCojo,142,0,0,0,2,3,3,1,3,5,15,8,12,10
27,Combo,Muted,Muted5,MoroCojo,142,0,0,0,1,1,3,2,5,4,6,2,2,2
28,Combo,Muted,Muted5,MoroCojo,142,0,0,0,0,1,2,2,4,4,7,0,3,3
29,Combo,Muted,Muted5,MoroCojo,142,0,0,0,1,6,7,7,11,12,26,1,0,2
30,Combo,Muted,Muted5,MoroCojo,142,0,0,0,0,1,2,6,11,11,16,0,3,2
31,Hester,Muted,Muted5,MoroCojo,142,0,0,1,2,5,4,4,3,10,6,5,16,15
32,Hester,Muted,Muted5,MoroCojo,142,0,0,0,0,0,2,2,2,2,2,1,5,6
33,Hester,Muted,Muted5,MoroCojo,142,0,0,0,0,0,2,4,2,6,7,8,17,26
34,Hester,Muted,Muted5,MoroCojo,142,0,0,0,0,2,0,4,3,5,8,10,19,28
35,Hester,Muted,Muted5,MoroCojo,142,0,0,0,1,1,3,3,4,4,9,11,24,28
36,Hester,Muted,Muted5,MoroCojo,142,1,1,1,1,1,1,1,2,3,2,7,20,13
37,Potting Soil,Muted,Muted2,Estrada,98,0,0,0,2,11,12,13,17,20,25,27,26,28
38,Potting Soil,Muted,Muted2,Estrada,98,0,0,0,4,9,12,13,16,20,33,37,37,42
39,Potting Soil,Muted,Muted2,Estrada,98,0,2,1,5,4,6,11,8,17,26,32,44,46
40,Potting Soil,Muted,Muted2,Estrada,98,0,6,6,10,12,17,25,43,43,60,67,78,79
41,Potting Soil,Muted,Muted2,Estrada,98,0,0,3,1,9,10,14,22,24,45,46,53,56
42,Potting Soil,Muted,Muted2,Estrada,98,0,0,0,0,5,5,9,12,15,25,21,37,39
43,Combo,Muted,Muted2,Estrada,98,0,0,0,2,2,4,8,11,10,15,16,18,21
44,Combo,Muted,Muted2,Estrada,98,0,0,1,1,2,4,1,4,7,20,3,4,5
45,Combo,Muted,Muted2,Estrada,98,0,0,0,0,2,0,0,0,1,8,3,3,6
46,Combo,Muted,Muted2,Estrada,98,0,0,1,3,7,6,3,7,11,16,20,30,28
47,Combo,Muted,Muted2,Estrada,98,0,1,0,6,8,10,16,18,31,45,61,58,56
48,Combo,Muted,Muted2,Estrada,98,0,0,0,0,3,4,2,3,4,5,4,11,15
49,Hester,Muted,Muted2,Estrada,98,0,0,0,1,5,4,6,3,6,8,11,33,29
50,Hester,Muted,Muted2,Estrada,98,0,0,0,0,1,2,4,5,6,6,7,17,13
51,Hester,Muted,Muted2,Estrada,98,0,0,0,0,4,3,5,8,8,6,11,22,22
52,Hester,Muted,Muted2,Estrada,98,0,0,0,0,2,1,6,6,7,11,9,33,30
53,Hester,Muted,Muted2,Estrada,98,1,0,0,0,0,0,1,1,2,4,6,22,21
54,Hester,Muted,Muted2,Estrada,98,0,0,0,0,0,1,3,5,6,3,7,8,2
55,Potting Soil,Muted,Muted1,MidAzevedo,169,0,1,3,9,3,7,12,15,33,48,62,64,67
56,Potting Soil,Muted,Muted1,MidAzevedo,169,0,0,3,6,5,8,14,9,9,9,4,24,32
57,Potting Soil,Muted,Muted1,MidAzevedo,169,0,0,2,6,11,11,20,21,35,54,52,50,52
58,Potting Soil,Muted,Muted1,MidAzevedo,169,0,0,5,10,11,11,10,21,24,34,21,40,53
59,Potting Soil,Muted,Muted1,MidAzevedo,169,0,0,1,5,9,7,14,22,25,59,62,77,83
60,Potting Soil,Muted,Muted1,MidAzevedo,169,0,0,1,5,4,8,11,13,18,46,24,22,22
61,Combo,Muted,Muted1,MidAzevedo,169,0,0,0,4,5,3,4,9,9,11,25,29,25
62,Combo,Muted,Muted1,MidAzevedo,169,0,0,4,4,4,9,8,6,7,10,10,10,14
